"workerid","assignmentid","Answer.listNumber","time","Answer.age","Answer.gender","Answer.language","Answer.americanenglish","variable","value","Trial","List","number","verb","sound","question","Response"
56,"3C5W7UE9CFRZRXYHGC6EZZK6Z4BXMH",9,00:03:18,"""29""","""male""","""English""","""Yes""","Trial1","10 1 control1 control1.wav Is_Debby_certain_that_Sue_came_over_after_Mary_left? 2",1,"10","1","control1","control1.wav","Is_Debby_certain_that_Sue_came_over_after_Mary_left?",2
70,"3TS1AR6UQQFZ6809CCY3AAN90AL7FQ",3,00:04:44,"""23""","""male""","""english""","""Yes""","Trial1","4 1 control1 control1.wav Is_Debby_certain_that_Sue_came_over_after_Mary_left? 1",1,"4","1","control1","control1.wav","Is_Debby_certain_that_Sue_came_over_after_Mary_left?",1
77,"3LWJHTCVCCN9CQ5O8B79A14450DFQW",9,00:05:07,"""23""","""male""","""English""","""Yes""","Trial1","10 1 control1 control1.wav Is_Debby_certain_that_Sue_came_over_after_Mary_left? 1",1,"10","1","control1","control1.wav","Is_Debby_certain_that_Sue_came_over_after_Mary_left?",1
103,"3UN61F00HWQHMURZFEJ0TFNWCS15R4",5,00:05:13,"""31""","""male""","""English""","""Yes""","Trial1","6 1 control1 control1.wav Is_Debby_certain_that_Sue_came_over_after_Mary_left? 1",1,"6","1","control1","control1.wav","Is_Debby_certain_that_Sue_came_over_after_Mary_left?",1
135,"3L70J4KAZGNKRQKBS9FXW1MEP5BAD9",9,00:05:03,"""28""","""female""","""english""","""Yes""","Trial1","10 1 control1 control1.wav Is_Debby_certain_that_Sue_came_over_after_Mary_left? 2",1,"10","1","control1","control1.wav","Is_Debby_certain_that_Sue_came_over_after_Mary_left?",2
150,"3VD82FOHKQPZO28Y2WP4DQO1TM3COA",8,00:05:39,"""32""","""female""","""english""","""Yes""","Trial1","9 1 control1 control1.wav Is_Debby_certain_that_Sue_came_over_after_Mary_left? 1",1,"9","1","control1","control1.wav","Is_Debby_certain_that_Sue_came_over_after_Mary_left?",1
76,"3QECW5O0KH2U294RJ3OVTUOE0DY5TH",4,00:05:39,"""68""","""female""","""english""","""Yes""","Trial1","5 1 control1 control1.wav Is_Debby_certain_that_Sue_came_over_after_Mary_left? 4",1,"5","1","control1","control1.wav","Is_Debby_certain_that_Sue_came_over_after_Mary_left?",4
8,"3X73LLYYQ1F8NPJ2N93S9SLCG43HN9",3,00:06:00,"""28""","""female""","""English""","""Yes""","Trial1","4 1 control1 control1.wav Is_Debby_certain_that_Sue_came_over_after_Mary_left? 1",1,"4","1","control1","control1.wav","Is_Debby_certain_that_Sue_came_over_after_Mary_left?",1
82,"3KMS4QQVK2RN1N7TV6NCEFSV6ULKF9",9,00:06:17,"""25""","""female""","""english""","""Yes""","Trial1","10 1 control1 control1.wav Is_Debby_certain_that_Sue_came_over_after_Mary_left? 1",1,"10","1","control1","control1.wav","Is_Debby_certain_that_Sue_came_over_after_Mary_left?",1
48,"3OCHAWUVGOL419YEV0TYKMS2AZGXKC",7,00:07:04,"""24""","""male""","""English""","""Yes""","Trial1","8 1 control1 control1.wav Is_Debby_certain_that_Sue_came_over_after_Mary_left? 1",1,"8","1","control1","control1.wav","Is_Debby_certain_that_Sue_came_over_after_Mary_left?",1
45,"3TPWUS5F8927TBH0TIGEUK1NWO2CWM",10,00:06:32,"""25""","""male""","""english""","""Yes""","Trial1","11 1 control1 control1.wav Is_Debby_certain_that_Sue_came_over_after_Mary_left? 1",1,"11","1","control1","control1.wav","Is_Debby_certain_that_Sue_came_over_after_Mary_left?",1
139,"33IZTU6J8122PSBM0920B8JCRTTXST",1,00:07:05,"""36""","""male""","""English""","""Yes""","Trial1","2 1 control1 control1.wav Is_Debby_certain_that_Sue_came_over_after_Mary_left? 1",1,"2","1","control1","control1.wav","Is_Debby_certain_that_Sue_came_over_after_Mary_left?",1
122,"3U088ZLJVKUNZJMKH2NUZJZMNZ50WH",1,00:06:10,"""46""","""female""","""English""","""Yes""","Trial1","2 1 control1 control1.wav Is_Debby_certain_that_Sue_came_over_after_Mary_left? 3",1,"2","1","control1","control1.wav","Is_Debby_certain_that_Sue_came_over_after_Mary_left?",3
60,"3ZDAD0O1T1E34SO1P97QLDFYTC7XTI",6,00:07:10,"""25""","""female""","""English""","""Yes""","Trial1","7 1 control1 control1.wav Is_Debby_certain_that_Sue_came_over_after_Mary_left? 1",1,"7","1","control1","control1.wav","Is_Debby_certain_that_Sue_came_over_after_Mary_left?",1
